id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1419662184578084316,Sunny and spacious 3 bdrm house,993133,Tamara,,Lynn-Highland Park,37.798317,-122.235365,Entire home/apt,136,3,1,2025-07-12,0.39,1,267,1,
1419809229804675293,Room 3 Yellow 3 @ FacesOasis,195751579,Bruce,,South Prescott,37.8053,-122.29653,Shared room,28,1,0,,,12,89,0,
1419845493830093517,Urban Retreat Unit B,507795192,Velisa,,Oak Center,37.80724912193458,-122.2790268217984,Entire home/apt,160,1,3,2025-08-23,0.87,3,288,3,
1420114354185610298,4 Br 2 Bath Victorian Apartment+ Mins to SF,230670970,Jenuine,,Prescott,37.81177149668298,-122.29830795018266,Entire home/apt,525,5,0,,,10,89,0,
1421168603043134475,Room 3 Yellow Bed 2 @ FacesOasis,195751579,Bruce,,Acorn-Acorn Industrial,37.80439995015018,-122.2943865162887,Shared room,28,1,5,2025-08-27,1.19,12,359,5,
1421247857912639018,Welcome to Your Lovely Home away From Home,6233773,Harel,,Prescott,37.8079413056064,-122.29984331068947,Entire home/apt,226,2,15,2025-09-14,3.75,2,317,15,
1421364738009497001,Beautiful modern studio apartment,80368963,Daniel,,Seminary,37.76631,-122.19825,Entire home/apt,,60,0,,,1,0,0,
1422457007142277043,Modern family home with cats,14847683,Milo,,Longfellow,37.833031490239414,-122.26929292639609,Entire home/apt,200,1,1,2025-06-15,0.29,2,175,1,
1424075955699629592,Sunny Casita in Rockridge,1272555,Amy,,Shafter,37.84291785552399,-122.25436169654131,Entire home/apt,205,1,8,2025-09-13,1.89,2,169,8,
1424422808194806311,happy welcome home tica.,182918881,Jacqueline,,Prescott,37.81305679621096,-122.29821752012559,Private room,75,1,0,,,1,89,0,
1424974300008316749,Cozy Room in West Oakland Duplex - full bed,431532707,Shawn,,Prescott,37.81134,-122.29927,Private room,47,1,10,2025-08-31,2.40,5,14,10,
1425214362465966864,Chic 2BR in Temescal – Walk to BART&Cafes |Dogs OK,99685402,Shailey,,Temescal,37.832759309412545,-122.26322100346898,Entire home/apt,143,2,6,2025-08-24,1.88,7,343,6,
1425360656199078379,Garden Guesthouse,735993,Nissa,,Clinton,37.79582911665436,-122.24869846709703,Entire home/apt,98,2,4,2025-09-14,1.10,1,353,4,
1426871771906623228,"Designer Loft w Private Garden, Walk to Waterfront",7918569,Sonja,,Old City-Produce And Waterfront,37.79588431471149,-122.27126787970998,Entire home/apt,185,5,4,2025-09-19,1.30,1,144,4,
1426885716603012807,Quiet 1BR Retreat Near SF,52322228,Paul,,Maxwell Park,37.77941707908607,-122.19085539912389,Entire home/apt,98,1,9,2025-09-01,3.07,1,360,9,
1426924977372999916,ArtHaus Chestnut - New Studio in West Oakland,263143710,Rishi Nath,,McClymonds,37.81741,-122.28195,Entire home/apt,57,30,0,,,11,56,0,
1427914986574203092,Cozy Room in West Oakland Duplex - twin bed,431532707,Shawn,,Prescott,37.80945,-122.30065,Private room,43,1,10,2025-09-02,2.54,5,86,10,
1428630240098947812,Cozy West Oakland Duplex - entire place,431532707,Shawn,,Prescott,37.80943,-122.30064,Entire home/apt,90,14,1,2025-07-21,0.45,5,89,1,
1428724542982635904,Self Contained Urban Retreat,299207115,Odessa,,Arroyo Viejo,37.76029,-122.17935,Entire home/apt,204,4,0,,,3,88,0,
1428728142612251676,Fresh 1BR Getaway Plus Parking,127634363,Hanae,,Paradise Park,37.84548,-122.28265,Entire home/apt,,6,0,,,1,319,0,
1429385534155607040,Tranquil getaway in Forestland,6237556,Lisa Anne,,Forestland,37.84257,-122.20065,Entire home/apt,112,2,11,2025-09-21,3.44,1,112,11,
1429991891568835050,The NOBE Abode,4333615,Winn,,Santa Fe,37.84411990666975,-122.27238070515675,Entire home/apt,148,2,3,2025-08-12,1.76,1,126,3,
1430502321831373066,Cozy West Oakland Camper Home,431532707,Shawn,,Prescott,37.81140652763915,-122.29944753197856,Entire home/apt,58,3,0,,,5,89,0,
1430882367814645505,Sunny Sanctuary in East Oakland!,5062811,Mira,,Bancroft Business-Havenscourt,37.768976307233686,-122.18784230749904,Private room,47,1,4,2025-09-20,1.05,2,30,4,
1431208619011040152,Private room 䅰,473537977,Yunjiao,,Brookfield Village,37.73637223633721,-122.18677527247917,Private room,42,1,7,2025-08-24,1.83,5,269,7,
1431349832482520301,Modern Downtown Oakland Apt w/ bath - 5th floor!,121372891,Wei,,Downtown,37.80236062239508,-122.27006495143755,Private room,62,30,1,2025-08-31,1,4,365,1,
1432015677453704820,ArtHaus Chestnut - New Studio in West Oakland,263143710,Rishi Nath,,McClymonds,37.8174057,-122.2819497,Entire home/apt,57,30,0,,,11,38,0,
1432016758996661664,ArtHaus Chestnut - New Studio in West Oakland,263143710,Rishi Nath,,McClymonds,37.8174057,-122.2819497,Entire home/apt,57,30,0,,,11,55,0,
1435553013083503877,North Oakland Garden Retreat,15493940,Jody,,Bushrod,37.846242,-122.2668288,Entire home/apt,,30,0,,,1,19,0,
1435708082438877759,Private Bath & Secluded Modern Comfort Bright,21741734,Sang Hoon,,Leona Heights,37.79574,-122.18137,Private room,81,2,10,2025-09-21,2.68,1,353,10,
1436374894903250650,Good Stay,672839624,Daniel,,Rancho San Antonio,37.79058,-122.24538,Entire home/apt,134,3,6,2025-09-01,1.75,2,361,6,
1436441008397979811,Remodeled two bed one bath Unit 4,318938165,Farzad,,Santa Fe,37.84507090216296,-122.27136148828653,Entire home/apt,180,5,0,,,2,347,0,
1436473650327532982,Accessible King Room in Boutique Hotel,434182021,Ayana,,Chinatown,37.80149,-122.27115,Private room,,1,0,,,10,163,0,
1436486915314895408,Charming and Convenient,463776936,Anna,,Prescott,37.81097,-122.30063,Entire home/apt,80,1,0,,,1,345,0,
1438040662786931939,Charming 1BR Near Highland Hospital & Lake Merritt,551586717,Noah,,Lynn-Highland Park,37.80014,-122.23249,Entire home/apt,107,3,2,2025-08-23,1.13,13,359,2,
1438415317284385776,Cozy Single Bed in Living Room,431532707,Shawn,,Prescott,37.81078,-122.29871,Shared room,43,1,8,2025-09-13,2.22,5,58,8,
1438548945949506036,Spacious Tudor Home | 3BR + In-Law Suite + Hot Tub,70961080,Mario,,Upper Dimond,37.7986308,-122.2034154,Entire home/apt,173,5,0,,,1,363,0,
1440113120698877270,Lakeview sunset oasis,122240667,Kate,,Lake Merritt,37.80779,-122.24954,Entire home/apt,206,3,2,2025-08-11,1.18,1,354,2,
